本次同步覆盖 938 条，实际内容变化 208 条：
变化字段统计: 限选人数×161, 课程英文名称×30, 上课时间地点×11, 教师姓名×6, 上课班级×6, 上课时间×6, 上课周次×4

202620271001882 | 合同法 | 变化: 教师姓名
202620271005065 | 身体运动功能 | 变化: 限选人数
202620271005066 | 身体运动功能 | 变化: 限选人数
202620271005067 | 身体运动功能 | 变化: 限选人数
202620271005068 | 身体运动功能 | 变化: 限选人数
202620271005069 | 身体运动功能 | 变化: 限选人数
202620271005070 | 身体运动功能 | 变化: 限选人数
202620271005071 | 身体运动功能 | 变化: 限选人数
202620271005072 | 身体运动功能 | 变化: 限选人数
202620271005073 | 身体运动功能 | 变化: 限选人数
202620271005074 | 身体运动功能 | 变化: 限选人数
202620271005164 | 身体运动功能 | 变化: 限选人数
202620271005165 | 身体运动功能 | 变化: 限选人数
202620271005166 | 身体运动功能 | 变化: 限选人数
202620271005167 | 身体运动功能 | 变化: 限选人数
202620271005168 | 身体运动功能 | 变化: 限选人数
202620271005169 | 身体运动功能 | 变化: 限选人数
202620271005170 | 身体运动功能 | 变化: 限选人数
202620271005171 | 身体运动功能 | 变化: 限选人数
202620271005172 | 身体运动功能 | 变化: 限选人数
202620271005173 | 身体运动功能 | 变化: 限选人数
202620271005075 | 身体运动功能 | 变化: 限选人数
202620271005174 | 身体运动功能 | 变化: 限选人数
202620271005175 | 身体运动功能 | 变化: 限选人数
202620271005176 | 身体运动功能 | 变化: 限选人数
202620271005177 | 身体运动功能 | 变化: 限选人数
202620271005178 | 身体运动功能 | 变化: 限选人数
202620271005179 | 身体运动功能 | 变化: 限选人数
202620271005180 | 身体运动功能 | 变化: 限选人数
202620271005181 | 身体运动功能 | 变化: 限选人数
202620271005182 | 身体运动功能 | 变化: 限选人数
202620271005183 | 身体运动功能 | 变化: 限选人数
202620271005076 | 身体运动功能 | 变化: 限选人数
202620271005184 | 身体运动功能 | 变化: 限选人数
202620271005185 | 身体运动功能 | 变化: 限选人数
202620271005186 | 身体运动功能 | 变化: 限选人数
202620271005187 | 身体运动功能 | 变化: 限选人数
202620271005188 | 身体运动功能 | 变化: 限选人数
202620271005189 | 身体运动功能 | 变化: 限选人数
202620271005190 | 身体运动功能 | 变化: 限选人数
202620271005191 | 身体运动功能 | 变化: 限选人数
202620271005192 | 身体运动功能 | 变化: 限选人数
202620271005193 | 身体运动功能 | 变化: 限选人数
202620271005077 | 身体运动功能 | 变化: 限选人数
202620271005456 | 身体运动功能 | 变化: 限选人数
202620271005460 | 身体运动功能 | 变化: 限选人数
202620271005462 | 身体运动功能 | 变化: 限选人数
202620271005463 | 身体运动功能 | 变化: 限选人数
202620271005500 | 身体运动功能 | 变化: 限选人数
202620271005465 | 身体运动功能 | 变化: 限选人数
202620271005501 | 身体运动功能 | 变化: 限选人数
202620271005502 | 身体运动功能 | 变化: 限选人数
202620271005503 | 身体运动功能 | 变化: 限选人数
202620271005078 | 身体运动功能 | 变化: 限选人数
202620271005079 | 身体运动功能 | 变化: 限选人数
202620271005080 | 身体运动功能 | 变化: 限选人数
202620271005081 | 身体运动功能 | 变化: 限选人数
202620271005082 | 身体运动功能 | 变化: 限选人数
202620271005083 | 身体运动功能 | 变化: 限选人数
202620271005084 | 身体运动功能 | 变化: 限选人数
202620271005085 | 身体运动功能 | 变化: 限选人数
202620271005086 | 身体运动功能 | 变化: 限选人数
202620271005087 | 身体运动功能 | 变化: 限选人数
202620271005088 | 身体运动功能 | 变化: 限选人数
202620271005089 | 身体运动功能 | 变化: 限选人数
202620271005090 | 身体运动功能 | 变化: 限选人数
202620271005091 | 身体运动功能 | 变化: 限选人数
202620271005092 | 身体运动功能 | 变化: 限选人数
202620271005093 | 身体运动功能 | 变化: 限选人数
202620271005094 | 身体运动功能 | 变化: 限选人数
202620271005095 | 身体运动功能 | 变化: 限选人数
202620271005096 | 身体运动功能 | 变化: 限选人数
202620271005097 | 身体运动功能 | 变化: 限选人数
202620271005098 | 身体运动功能 | 变化: 限选人数
202620271005099 | 身体运动功能 | 变化: 限选人数
202620271005100 | 身体运动功能 | 变化: 限选人数
202620271005101 | 身体运动功能 | 变化: 限选人数
202620271005102 | 身体运动功能 | 变化: 限选人数
202620271005103 | 身体运动功能 | 变化: 限选人数
202620271005104 | 身体运动功能 | 变化: 限选人数
202620271005105 | 身体运动功能 | 变化: 限选人数
202620271005106 | 身体运动功能 | 变化: 限选人数
202620271005107 | 身体运动功能 | 变化: 限选人数
202620271005108 | 身体运动功能 | 变化: 限选人数
202620271005109 | 身体运动功能 | 变化: 限选人数
202620271005110 | 身体运动功能 | 变化: 限选人数
202620271005111 | 身体运动功能 | 变化: 限选人数
202620271005112 | 身体运动功能 | 变化: 限选人数
202620271005113 | 身体运动功能 | 变化: 限选人数
202620271005114 | 身体运动功能 | 变化: 限选人数
202620271005115 | 身体运动功能 | 变化: 限选人数
202620271005116 | 身体运动功能 | 变化: 限选人数
202620271005117 | 身体运动功能 | 变化: 限选人数
202620271005118 | 身体运动功能 | 变化: 限选人数
202620271005119 | 身体运动功能 | 变化: 限选人数
202620271005120 | 身体运动功能 | 变化: 限选人数
202620271005121 | 身体运动功能 | 变化: 限选人数
202620271005122 | 身体运动功能 | 变化: 限选人数
202620271005123 | 身体运动功能 | 变化: 限选人数
202620271005124 | 身体运动功能 | 变化: 限选人数
202620271005125 | 身体运动功能 | 变化: 限选人数
202620271005126 | 身体运动功能 | 变化: 限选人数
202620271005127 | 身体运动功能 | 变化: 限选人数
202620271005128 | 身体运动功能 | 变化: 限选人数
202620271005129 | 身体运动功能 | 变化: 限选人数
202620271005130 | 身体运动功能 | 变化: 限选人数
202620271005131 | 身体运动功能 | 变化: 限选人数
202620271005132 | 身体运动功能 | 变化: 限选人数
